species,easternNoAm,europe,africa,india,palearctic_asia,malaysianPenninsula,greaterSunda,lesserSunda,philippines
Cheiromeles torquatus,0,0,0,0,0,1,1,0,1
Corynorhinus mexicanus,1,0,0,0,0,0,0,0,0
Corynorhinus rafinesquii,1,0,0,0,0,0,0,0,0
Corynorhinus townsendii,1,0,0,0,0,0,0,0,0
Eptesicus brasiliensis,1,0,0,0,0,0,0,0,0
Eptesicus chiriquinus,1,0,0,0,0,0,0,0,0
Eptesicus furinalis,1,0,0,0,0,0,0,0,0
Eptesicus fuscus,1,0,0,0,0,0,0,0,0
Eptesicus gobiensis,0,0,0,0,1,0,0,0,0
Eptesicus hottentotus,0,0,1,0,0,0,0,0,0
Eptesicus nilssonii,0,1,0,0,1,0,0,0,0
Eptesicus pachyomus,0,0,0,1,1,1,0,0,0
Eptesicus serotinus,0,1,0,1,1,1,0,0,0
Eumops auripendulus,1,0,0,0,0,0,0,0,0
Eumops bonariensis,0,0,0,0,0,0,0,0,0
Eumops floridanus,1,0,0,0,0,0,0,0,0
Eumops glaucinus,1,0,0,0,0,0,0,0,0
Eumops hansae,1,0,0,0,0,0,0,0,0
Eumops perotis,1,0,0,0,0,0,0,0,0
Eumops underwoodi,1,0,0,0,0,0,0,0,0
Hipposideros armiger,0,0,0,1,1,1,1,0,0
Hipposideros bicolor,0,0,0,1,1,1,1,1,1
Hipposideros coxi,0,0,0,0,0,0,1,0,0
Hipposideros diadema,0,0,0,0,1,1,1,1,1
Hipposideros dyacorum,0,0,0,0,0,1,1,0,1
Hipposideros grandis,0,0,0,1,1,1,0,0,0
Hipposideros inornatus,0,0,0,0,0,0,0,0,0
Hipposideros kunzi,0,0,0,0,0,1,1,0,0
Hipposideros lankadiva,0,0,0,1,1,1,0,0,0
Hipposideros larvatus,0,0,0,1,1,1,1,0,0
Hipposideros lekaguli,0,0,0,0,0,1,0,0,1
Hipposideros lylei,0,0,0,1,1,1,1,0,0
Hipposideros obscurus,0,0,0,0,0,0,0,0,1
Hipposideros papua,0,0,0,0,0,0,0,1,0
Hipposideros pelingensis,0,0,0,0,0,0,0,1,0
Hipposideros ridleyi,0,0,0,0,0,1,1,0,1
Hipposideros rotalis,0,0,0,0,1,1,0,0,0
Hipposideros ruber,0,0,1,0,0,0,0,0,0
Hipposideros scutinares,0,0,0,0,1,1,0,0,0
Hipposideros speoris,0,0,0,1,0,0,0,0,0
Hipposideros turpis,0,0,0,0,1,0,0,0,0
Ia io,0,0,0,1,1,1,0,0,0
Lasiurus blossevillii,1,0,0,0,0,0,0,0,0
Lasiurus borealis,1,0,0,0,0,0,0,0,0
Lasiurus cinereus,1,0,0,0,0,0,0,0,0
Lasiurus ega,1,0,0,0,0,0,0,0,0
Lasiurus intermedius,1,0,0,0,0,0,0,0,0
Lasiurus seminolus,1,0,0,0,0,0,0,0,0
Lasiurus xanthinus,1,0,0,0,0,0,0,0,0
Lavia frons,0,0,1,0,0,0,0,0,0
Molossus alvarezi,1,0,0,0,0,0,0,0,0
Molossus aztecus,1,0,0,0,0,0,0,0,0
Molossus coibensis,1,0,0,0,0,0,0,0,0
Molossus molossus,1,0,0,0,0,0,0,0,0
Molossus pretiosus,1,0,0,0,0,0,0,0,0
Molossus rufus,1,0,0,0,0,0,0,0,0
Molossus sinaloae,1,0,0,0,0,0,0,0,0
Mops brachypterus,0,0,1,0,0,0,0,0,0
Mops condylurus,0,0,1,0,0,0,0,0,0
Mops leucostigma,0,0,1,0,0,0,0,0,0
Mops midas,0,0,1,0,0,0,0,0,0
Mops mops,0,0,0,0,0,1,1,0,1
Mops niveiventer,0,0,1,0,0,0,0,0,0
Mops sarasinorum,0,0,0,0,0,0,0,1,1
Mops thersites,0,0,1,0,0,0,0,0,0
Mormoops megalophylla,1,0,0,0,0,0,0,0,0
Nyctalus aviator,0,0,0,0,1,0,0,0,0
